entity,target_lang,translation
apple sauce,ar,صوص التفاح
Aqsunqur Mosque,ar,مسجد إبراهيم أغا مستحفظان
The Collector,ar,The Collector
Yu the Great,ar,يو العظيم
Chinese history,ar,تاريخ الصين
Chinese culture,ar,حضارة الصين
Xia Dynasty,ar,سلالة شيا الحاكمة
The Steam House,ar,بيت البخار
"Henry IV, Part 1",ar,هنري الرابع، الجزء 1
Survivor Turkey,ar,سرفايفر تركيا
The Rose Tattoo,ar,The Rose Tattoo
1955,ar,1955
Hassan Al Muthanna,ar,الحسن المثنى
Six Characters in Search of an Author,ar,ستة شخصيات تبحث عن مؤلف
Switzerland,ar,سويسرا
Historical Dictionary of Switzerland,ar,قاموس سويسرا التاريخي
The Brave One,ar,الشجاعة
"Gaston, Duke of Orléans",ar,غاستون، دوق أورليان
Orléans,ar,أورليان
John Tristan,ar,جان تريستان، كونت فالوا
Count of Valois,ar,Count of Valois
Ivan Franko,ar,إيفان فرانكو (أديب أوكراني)
Kyiv,ar,كييف
Ivan Franko National Academic Drama Theater,ar,مسرح إيفان فرانكو الأكاديمي الوطني للدراما
Yugi Mutou,ar,يوغي موتو
Yu-Gi-Oh!,ar,يوغي يو!
Same Old Song,ar,نفس الأغنية القديمة
Gelati Monastery,ar,دير غيلاتي
Mosque of Amr ibn al-As,ar,جامع عمرو بن العاص
Amr ibn al-As,ar,عمرو بن العاص
Muhammad,ar,محمد
Ottobeuren Abbey,ar,دير أوتوبويرن
Romeo's Blue Skies,ar,عهد الأصدقاء
Naruto Shippuden the Movie: The Will of Fire,ar,فيلم ناروتو شيبودن: إرادة النار
Chopin,ar,Chopin
Nocturnes,ar,المقطوعة الحالمة
Op. 37,ar,الفصول (تشايكوفسكي)
North Church,ar,North Church
Arkhyz,ar,Arkhyz
Russia,ar,روسيا
The Rape of Nanking,ar,مذبحة نانجنغ
white radish,ar,فجل أبيض
Canon law,ar,قانون كنسي
Catholic Church,ar,الكنيسة الرومانية الكاثوليكية
Miracle in Cell No. 7,ar,معجزة الزنزانة رقم 7
The Stepford Wives,ar,The Stepford Wives
Dirk VI,ar,ديريك السادس، كونت هولندا
Count of Holland,ar,Count of Holland
Dutch history,ar,Dutch history
Chapel of the Ascension,ar,كنيسة الصعود
tomato juice,ar,عصير الطماطم
The Ambassador's Daughter,ar,The Ambassador's Daughter
Terra for Mars,ar,تيرا فورمارز
Terra,ar,Terra
babassu,ar,babassu
babassu oil,ar,زيت باباسو
Yeşil Türbe,ar,الضريح الأخضر
"Zen Mind, Beginner's Mind",ar,عقل الزن، عقل المبتدئ
Zen Mind,ar,عقل الزن، عقل المبتدئ
Kipo,ar,كيبو وعصر الوحوش العظيمة
Age of Wonderbeasts,ar,Age of Wonderbeasts
Kipo and the Age of Wonderbeasts,ar,كيبو وعصر الوحوش العظيمة
Great Mosque of Xi'an,ar,مسجد شيان
Xi'an,ar,شيان
Great Mosque,ar,مسجد جامع
Tafsir al-Mizan,ar,الميزان في تفسير القرآن
Gods of the Plague,ar,آلهة الطاعون
Jesuit Block,ar,Jesuit Block
Estancias,ar,Estancias
Córdoba,ar,قرطبة
Estancias of Córdoba,ar,Estancias of Córdoba
Jesuit Block and Estancias,ar,المجمّع والإستانسياس اليسوعية في قرطبة
Imam Ali Mosque,ar,العتبة العلوية المقدسة
The Windermere Children,ar,أطفال ويندرمير
Muhlenberg,ar,Muhlenberg
Prometheus Bound,ar,برومثيوس في الأغلال
Maiden's Tower,ar,برج الفتاة
Bosphorus,ar,البوسفور
Pride and Prejudice,ar,Pride and Prejudice
Mr. Darcy,ar,Mr. Darcy
1995,ar,1995
Kılıç Ali Pasha Mosque,ar,جامع قلج علي باشا
Tunisian,ar,تونس
The Hairdresser,ar,The Hairdresser
Nausicaä of the Valley of the Wind,ar,ناوسيكا أميرة وادي الرياح
1984,ar,1984
The Legend of the North Wind,ar,عودة رياح الشمال
My Best Friend's Wedding,ar,زواج أعز صديق
Br'er Rabbit,ar,الأرنب المحتال
The Adventure of the Naval Treaty,ar,وثائق المعاهدة البحرية
Princess Maria Beatrice of Savoy,ar,ماريا سافويا
Savoy,ar,Savoy
Princess Maria Beatrice,ar,ماريا سافويا
Yevhen Rudakov,ar,إفيغيني روداكوف
What Is to Be Done?,ar,What Is to Be Done?
Bolshevik-Menshevik,ar,Bolshevik-Menshevik
Pashkov House,ar,دار باشكوف
Joan Laporta,ar,خوان لابورتا
Chelsea F.C.,ar,نادي تشيلسي
Space Carrier Blue Noah,ar,الغواصة الزرقاء
Space Carrier Blue,ar,الغواصة الزرقاء
Noah,ar,نواه
Inspector Gadget,ar,المحقق غادجيت
Inspector Gadget's Field Trip,ar,المتحري وحيد
Statistical Classification of Economic Activities,fr,"nomenclature statistique des activités économiques dans la Communauté européenne, Rev. 2 (2008)"
European Community,fr,Communauté européenne
European Union,fr,Union européenne
Pokémon,fr,Pokémon
"So Long, and Thanks for All the Fish",fr,"So Long, and Thanks for All the Fish"
1984,fr,1984
Air March,fr,Aviamarş
The Simulacra,fr,The Simulacra
boiled egg,fr,œuf à la coque
egg,fr,testicule
Porcelain Tower of Nanjing,fr,pagode de porcelaine de Nankin
Great Bao'en Temple,fr,grand temple Bao'en
rye flour,fr,farine de seigle
garlic powder,fr,poudre d'ail
garlic,fr,ail
vanilla extract,fr,Extrait de vanille
Moscow Choral Synagogue,fr,synagogue chorale de Moscou
Moscow,fr,Moscou
Siren Sorrento,fr,Sorento
Saint Seiya,fr,Saint Seiya
Stele of the Vultures,fr,stèle des Vautours
tripe soup,fr,soupe aux tripes
Stockholm,fr,Stockholm
Stockholm Court House,fr,palais de justice de Stockholm
Marvel Comics,fr,Marvel Comics
Ten Rings,fr,Dix Anneaux
Marvel universe,fr,Univers Marvel
Juice Ortiz,fr,Juan Carlos « Juice » Ortiz
Sons of Anarchy,fr,Sons of Anarchy
Gerasimov Institute of Cinematography,fr,Institut national de la cinématographie
country,fr,musique country
Summer Snow,fr,Neige d'été
All Your Faces,fr,Je verrai toujours vos visages
The Song of Bernadette,fr,Le Chant de Bernadette
The Princess and the Pea,fr,La Princesse au petit pois
Tramps Like Us,fr,Kimi wa pet
War with the Newts,fr,La Guerre des salamandres
Symphony No. 9,fr,Symphonie nº 9 de Beethoven
Prince Gabriel,fr,Prince Gabriel
Belgium,fr,Belgique
A Room of One's Own,fr,Une chambre à soi
Virginia Woolf,fr,Virginia Woolf
Crimea,fr,Crimée
The Blue Lagoon,fr,Le Lagon bleu
French,fr,français
Cantonese,fr,dialecte cantonais
frog legs,fr,cuisses de grenouille
Cantonese cuisine,fr,cuisine cantonaise
Noah's Ark,fr,Noah's Ark
Mount Ararat,fr,mont Ararat
Gorky Park,fr,Gorky Park
Armenian Cathedral of the Holy Cross,fr,Sainte-Croix d'Aghtamar
Phone Call from a Stranger,fr,Appel d'un inconnu
William IV,fr,Guillaume IV
Leningradsky railway station,fr,Moscou-Léningrad
Convent San Marco,fr,couvent San Marco
Monastery of the Holy Archangels,fr,monastère des Saints-Archanges à Prizren
The Sandman,fr,Sandman
The Sandman: A Game of You,fr,Jouons à être toi
Maly Theatre,fr,théâtre Maly
Russia,fr,Russie
Where the Wild Things Are,fr,Max et les Maximonstres
The Wild Things Are,fr,The Wild Things Are
Kilmacduagh monastery,fr,monastère de Kilmacduagh
Sideshow Bob,fr,Tahiti Bob
The Simpsons,fr,Les Simpson
Max Weber,fr,Max Weber
Economy and Society,fr,Economy and Society
The Child of the Cavern,fr,Les Indes noires
Austrian,fr,Austrian Airlines
Vienna,fr,Vienne
Tales from the Vienna Woods,fr,Histoires de la forêt viennoise
Vienna Woods,fr,Wienerwald
Viennese waltz,fr,valse viennoise
Separate Tables,fr,Tables séparées
Sultan Qaboos Grand Mosque,fr,Grande Mosquée du Sultan Qabus
Our Mutual Friend,fr,L'Ami commun
quail eggs,fr,œuf de caille
chicken eggs,fr,œuf de poule
Maulbronn Monastery,fr,abbaye de Maulbronn
Diane Jenkins,fr,Diane Newman
The Things They Carried,fr,À propos de courage
Saint Sophia Cathedral,fr,cathédrale Sainte-Sophie de Kiev
Symphony No. 1,fr,Symphony No. 1
Symphony No. 100,fr,symphonie nº 100
February 31,fr,31 février
February,fr,février
Symphony No. 103,fr,symphonie nº 103
Haydn,fr,Joseph Haydn
tripe,fr,Elton John
Armenian,fr,arménien
Wild Things Are,fr,Wild Things Are
Viennese,fr,allemand viennois
waltz,fr,Waltz
Maulbronn,fr,Maulbronn
31,fr,31
Nich Yaka Misyachna,fr,Nitch iaka missiatchna
Ukraine,fr,Ukraine
Ivolginsky Datsan,fr,Datsan d'Ivolguinsk
Universal Windows Platform,fr,Universal Windows Platform
Microsoft Windows,fr,Microsoft Windows
World Without End,fr,World Without End
Symphony No. 11,fr,Symphonie nº 11 de Mozart
St. Louis,fr,Saint-Louis
Church of St. Louis,fr,église Saint-Louis-de-Kamouraska
Son Tung M-TP,fr,Sơn Tùng M-TP
Vietnam,fr,Viêt Nam
Piano Sonata No. 1 in C minor,fr,Sonate pour piano nº 1
Op. 4,fr,Fantaisie pour violon et piano
Piano Sonata No. 1,fr,sonate pour piano nº 1 op. 6
C minor,fr,do mineur
Platov South-Russian State Polytechnic University,fr,université technique d'État de Novotcherkassk
The Girl from Missouri,fr,La Belle du Missouri
The Man in the Case,fr,L'Homme à l'étui
Battle of the Hornburg,fr,Bataille de Fort-le-Cor
Red Sorghum,fr,Le Sorgho rouge
Mo Yan,fr,Mo Yan
Knechtsteden Abbey,fr,abbaye de Knechtsteden
Suleiman Istanbul Mosque,fr,Suleiman Istanbul Mosque
Turkish,fr,turc
Istanbul,fr,Istanbul
Alcmaeon,fr,Alcméon
Croton,fr,Croton
mustard seeds,fr,mustard seeds
Ukrainian Catholic University,fr,université catholique ukrainienne
Menüçehr Mosque,fr,mosquée Menüçehr
Nativity Convent,fr,monastère de la Nativité
tractor beams,fr,tractor beams
tractor beam,fr,tractor beam
An Inconvenient Truth,fr,Une vérité qui dérange
A Moveable Feast,fr,Paris est une fête
7 Days in Hell,fr,Sept jours en enfer
Canon,fr,Canon
Piano Concerto No. 2,fr,Concerto pour piano nº 2 de Rachmaninov
Symphony No. 2,fr,Symphonie nº 2 de Beethoven
Violin Romance No. 2,fr,Romance pour violon et orchestre nº 2 de Beethoven
Palace of Peace and Reconciliation,fr,palais de la paix et de la réconciliation
tofu skin,fr,peau de tofu
vegetarian,fr,végétarisme
vegan,fr,véganisme
Chinese,fr,chinois
Japanese,fr,japonais
tofu,fr,Tofu
Moscow Conservatory,fr,Conservatoire Tchaïkovski de Moscou
State of Fear,fr,State of Fear
Spies of Warsaw,fr,Espions de Varsovie
Piano Concerto No. 3,fr,Concerto pour piano nº 3 de Rachmaninov
Sergei Prokofiev,fr,Serge Prokofiev
The Gambler,fr,The Gambler
Prince Alexander of Serbia,fr,Alexandre de Yougoslavie
Serbia,fr,Serbie
Prince Alexander,fr,Maximilian zu Wied-Neuwied
globe artichoke,fr,artichaut
globe artichokes,fr,globe artichokes
White Sun of the Desert,fr,Le Soleil blanc du désert
Flute Concerto No. 1,fr,Concerto n°1 en sol majeur pour flûte de Mozart
Palau Nacional,fr,Palau Nacional
Putra Mosque,fr,mosquée Putra
St. Meinrad Archabbey,fr,abbaye Saint-Meinrad
Esio Trot,fr,Un amour de tortue
Roald Dahl,fr,Roald Dahl
Stephen VI,fr,Étienne VI
Princess Maria Carolina of Parma,fr,Caroline de Bourbon-Parme
Parma,fr,Parma
Princess Maria Carolina,fr,Caroline de Bourbon-Siciles
Chaos Space Marines,fr,Death Guard
Durin's folk,fr,maison de Durin
Middle-earth,fr,Terre du Milieu
Cello Concerto,fr,concerto pour violoncelle
Grand Duke Sergei Alexandrovich,fr,Serge Alexandrovitch de Russie
The Fifth Season,fr,The Fifth Season
If I Forget Thee,fr,Les Palmiers sauvages
Tomb of Cyrus the Great,fr,mausolée de Cyrus le Grand
Cyrus the Great,fr,Cyrus II
Philip William,fr,Philip William
Prince of Orange,fr,prince d'Orange
Orange,fr,Orange
Sissi – The Young Empress,fr,Sissi impératrice
1956,fr,1956
Wrecking Crew,fr,Wrecking Crew
Mock Turtle,fr,Fausse Tortue
Belisarius,fr,Belisarius
Alms,fr,Alms
Jacques-Louis David,fr,Jacques-Louis David
Belisarius Begging for Alms,fr,Bélisaire demandant l'aumône
Bhima I,fr,Bhimdev I
Chaulukya dynasty,fr,Solankî
India,fr,Inde
Trial & Retribution,fr,"Scotland Yard, crimes sur la Tamise"
State Archive of the Russian Federation,fr,archives d'État de la fédération de Russie
Russian Federation,fr,Russie
Tangled,fr,Raiponce
Tangled: Before Ever After,fr,"Raiponce : moi, j'ai un rêve"
Tverskoy Boulevard,fr,boulevard Tverskoï
Olejek kasjowy,fr,Casse (épice)
Dante's Inferno,fr,Dante's Inferno
The Divine Comedy,fr,La Divine Comédie
Chuckie Finster,fr,Charles-Édouard Fifrelin
Rugrats,fr,Les Razmoket
All Grown Up!,fr,Razbitume !
Money Heist,fr,La casa de papel
For Esmé,fr,Pour Esmé avec amour et abjection
For Esmé – with Love and Squalor,fr,Pour Esmé avec amour et abjection
Al-Rifa'i Mosque,fr,mosquée Al-Rifa'i
Egypt,fr,Égypte
Little House on the Prairie,fr,La Petite Maison dans la prairie
Master of the World,fr,Maître du Monde
Executioners from Shaolin,fr,Les Exécuteurs de Shaolin
The Herbs,fr,Les Herbes
"Aguirre, the Wrath of God",fr,"Aguirre, la colère de Dieu"
Badshahi Mosque,fr,mosquée Royale
Lahore,fr,Lahore
Pakistan,fr,Pakistan
Civil Disobedience,fr,désobéissance civile
abolitionist movement,fr,abolitionnisme
Thoreau,fr,Thoreau
It's All Relative,fr,Tout est relatif
Youssef Dey Mosque,fr,mosquée Youssef Dey
Abbey of Monte Cassino,fr,abbaye du Mont-Cassin
Abbey of Thelema,fr,abbaye de Thélème
Ordenações Manuelinas,fr,Ordonnances manuélines
grocery store,fr,épicerie
cooking apples,fr,cooking apples
apples,fr,Malus
Eight Hours Don't Make a Day,fr,Huit heures ne font pas un jour
Turist Ömer,fr,Turkish Star Trek
Variations and Fugue on a Theme by Handel,fr,Variations et fugue sur un thème de Haendel
Handel,fr,Georg Friedrich Haendel
Sidi Ghanem Mosque,fr,mosquée Sidi Ghanem de Mila
Algeria,fr,Algérie
Maghreb region,fr,Maghreb region
Diyarbakır Mosque,fr,Diyarbakır Mosque
Sázava Monastery,fr,monastère de Sázava
Tower of the Winds,fr,tour des Vents
Royaumont Abbey,fr,abbaye de Royaumont
France,fr,France
The Wonderful Wizard of Oz,fr,Le Magicien d'Oz
The Magic School Bus Rides Again,fr,Les Nouvelles Aventures du bus magique
Uno tranquillo,fr,Siffler sur la colline
String Quartet No. 2,fr,Quatuor à cordes nº 2 de Beethoven
Demon in a Bottle,fr,Iron Man : Le Diable en bouteille
The Land,fr,Bade-Wurtemberg
Baptism of Fire,fr,Baptism of Fire
Walkenried Abbey,fr,abbaye de Walkenried
Mikhail Mishustin,fr,Mikhaïl Michoustine
The Shack,fr,La Cabane
Hogan's Heroes,fr,Papa Schultz
Arseny Morozov House,fr,Hôtel particulier Arseni Morozov
Vozdvizhenka,fr,Vozdvijenka (kraï du Primorié)
tobacco,fr,tabac commun
Intercession Monastery,fr,monastère de l'Intercession
Princess,fr,princesse
Princess from the Moon,fr,La Princesse de la Lune
Rostral columns,fr,colonnes rostrales
Spit of the Vasilievsky Island,fr,Spit of the Vasilievsky Island
The Robots of Dawn,fr,The Robots of Dawn
Universitetskaya Embankment,fr,quai de l'Université
Saint Petersburg,fr,Saint-Pétersbourg
Church of the Transfiguration,fr,chapelle de la Transfiguration du Sauveur
Ilyina Street,fr,Ilyina Street
Roggenburg Abbey,fr,abbaye de Roggenburg
21st-century,fr,XXIe siècle
The Princess and the Goblin,fr,La Princesse et le Gobelin
Sal Khan,fr,Salman Khan
Central Dynamo Stadium,fr,stade Dynamo
Mari,fr,Mari
South Korea,fr,Corée du Sud
"My Beautiful Girl, Mari",fr,Mari Iyagi
Brave New World,fr,Le Meilleur des mondes
Ingrid Martinez,fr,Ingrid Martz
The Gospel as Revealed to Me,fr,L'Évangile tel qu'il m'a été révélé
The Gospel,fr,Évangiles
Streets of Laredo,fr,Lonesome Dove : Le Crépuscule
American,fr,anglais américain
Schweik,fr,Schweikert
Second World War,fr,Seconde Guerre mondiale
Schweik in the Second World War,fr,Schweyk dans la Deuxième Guerre mondiale
The Barbarian Invasions,fr,Les Invasions barbares
Fukuoka Mosque,fr,mosquée de Fukuoka
Japan,fr,Japon
Phantom,fr,Phantom
Heilbronn,fr,Heilbronn
"William, Count of Schaumburg-Lippe",fr,Frédéric-Guillaume de Schaumbourg-Lippe
William,fr,William
Count of Schaumburg-Lippe,fr,Count of Schaumburg-Lippe
resistant starch,fr,resistant starch
Princess Charlotte,fr,Charlotte de Grande-Bretagne
Prussia,fr,royaume de Prusse
The Story of the Western Wing,fr,Xixiang ji
Agiou Panteleimonos monastery,fr,monastère Saint-Panteleimon
Agiou Panteleimonos,fr,monastère Saint-Panteleimon
Hot Summer Night,fr,Hot Summer Night
Motown Magic,fr,La Magie de Motown
Australian-American,fr,Australo-Américains
Great Mosque of Samarra,fr,Grande Mosquée de Samarra
Samarra,fr,Samarra
Alex Hrdlicka,fr,Aleš Hrdlička
Hard-Boiled Wonderland,fr,La Fin des temps
the End of the World,fr,La Fin du monde
The Devil's Elixirs,fr,Les Élixirs du Diable
paprika oleoresin,fr,Oléorésine de paprika
Sucevița Monastery,fr,monastère de Sucevița
mad scientist,fr,savant fou
9½ Weeks,fr,9 Semaines ½
Miss Julie,fr,Miss Julie
Shukhov Tower,fr,tour Choukhov
Blood Order,fr,ordre du sang
Nazi Party,fr,Parti national-socialiste des travailleurs allemands
pink salmon,fr,Saumon rose à bosse
Bibi-Khanym Mosque,fr,mosquée Bibi-Khanym
Selena: The Series,fr,"Selena, la série"
Monument to the Battle of the Nations,fr,monument de la Bataille des Nations
Nocturnes,fr,Nocturnes
"Nocturnes, Op. 55",fr,"Nocturnes, opus 55"
Hugh Magnus,fr,Hugues de France
Weasley family,fr,famille Weasley
The Dream Team,fr,The Dream Team
Louis Aloysius,fr,Louis Aloÿs de Hohenlohe-Waldenbourg-Bartenstein
Hohenlohe-Waldenburg-Bartenstein,fr,maison de Hohenlohe
Descartes,fr,Descartes
Discourse on the Method,fr,Discours de la méthode
parboiled rice,fr,riz parboiled
Galactic Republic,fr,République galactique
Man of the East,fr,"Et maintenant, on l'appelle El Magnifico"
Singer House,fr,immeuble de la compagnie Singer
Priory Palace,fr,palais du Prieuré
Criminal Code of Russia,fr,Code pénal russe
French Suites,fr,Suites françaises
Bach,fr,Jean-Sébastien Bach
J. S. Bach,fr,Jean-Sébastien Bach
Force of Evil,fr,L'Enfer de la corruption
Chronography,fr,chronographie
354,fr,354
The Man Who Crossed Hitler,fr,"1931, le procès Hitler"
House Atreides,fr,La Maison des Atréides
Dune universe,fr,univers de Dune
Terra for Mars,fr,Terra Formars
Terra,fr,terra
babassu,fr,Attalea speciosa
babassu oil,fr,huile de babassu
Kaliningrad Railway station,fr,Kaliningrad-Passajirski
Winnie the Pooh,fr,Winnie l'ourson
Christmas Too,fr,Christmas Too
Christmas,fr,Christmas
Winnie the Pooh and Christmas Too,fr,Winnie l'ourson : Noël à l'unisson
Diary of a Future President,fr,Journal d'une future présidente
Brotherly Love,fr,Philia
cellophane noodles,fr,vermicelles cristal
Brazilian,fr,portugais brésilien
"Good Morning, Verônica",fr,"Bonjour, Verônica"
The Firebird,fr,L'Oiseau de feu
Runaway Horses,fr,Chevaux échappés
The Letter for the King,fr,Les Chevaliers du roi
Pielenhofen Abbey,fr,abbaye de Pielenhofen
Organ Sonatas,fr,Sonates en trio pour orgue de Bach
neem oil,fr,Huile de neem
Mother Russia,fr,Mother Russia
Scooby's All-Star Laff-A-Lympics,fr,Scooby-Doo : Jeux Epiques pour Stars Olympiques
Br'er Rabbit,fr,Frère Lapin
Polovtsian Dances,fr,Danses polovtsiennes
Prince Igor,fr,Le Prince Igor
St. Michael's Cathedral,fr,cathédrale Saint-Michel de Belgrade
Chicken with Plums,fr,Poulet aux prunes
Chicken,fr,poulet
"Farewell, Unwashed Russia",fr,"Adieu, pays mangé des puces"
It Ends with Us,fr,Jamais plus
The Infernal City,fr,La Cité infernale
Yogi Bear,fr,Yogi Bear
Ivan the Great Bell Tower,fr,clocher d'Ivan le Grand
Klov Palace,fr,palais Klov
Midnight,fr,Midnight
I Shall Wear Midnight,fr,I Shall Wear Midnight
Huaisheng Mosque,fr,mosquée Huaisheng
Guangdong,fr,Guangdong
Piano Concerto,fr,concerto pour piano
soybean sprouts,zh,黃豆芽
Asian cuisine,zh,亞洲式料理
Munich,zh,慕尼黑
Russian State Library,zh,俄罗斯国立图书馆
The Prize,zh,諜海驚心
Church of the Intercession,zh,Church of the Intercession
Nerl,zh,涅爾利河
Church of the Intercession on the Nerl,zh,涅爾利代禱教堂
boiled egg,zh,水煮蛋
egg,zh,睾丸
Jia Yingchun,zh,賈迎春
Chromatic Fantasia and Fugue,zh,半音階幻想曲與賦格
Chromatic Fantasia,zh,Chromatic Fantasia
Pentaglot Dictionary,zh,御製五體清文鑑
maltose syrup,zh,麦芽糖
malted grains,zh,malted grains
2022,zh,2022年
Love Like The Galaxy,zh,星汉灿烂·月升沧海
Chinese,zh,中文
Gerasimov Institute of Cinematography,zh,電影攝影學院
Solovetsky Monastery,zh,索羅維斯基修道院
Till the End of the Night,zh,直到長夜將盡
The Gift of the Magi,zh,麦琪的礼物
Stateless Address Autoconfiguration,zh,SLAAC
"Concerto for Flute, Harp, and Orchestra",zh,長笛與豎琴協奏曲
Flute,zh,笛
Harp,zh,Harp
Orchestra,zh,管弦樂團
Partners in Crime,zh,手下
Agatha Christie,zh,阿加莎·克里斯蒂
Penguin Island,zh,Penguin Island
A Day at the Races,zh,A Day at the Races
Snow Queen,zh,冰雪之王
2002,zh,2002年
Around the World in Eighty Days,zh,環遊世界八十天
International System of Units,zh,國際單位制
National Kaiser Wilhelm Monument,zh,威廉皇帝國家紀念碑
Noah,zh,諾亞
Noah's Ark,zh,Noah's Ark
Mount Ararat,zh,亞拉拉特山
Institute of Physics and Power Engineering JSC,zh,莱朋斯基物理和动力工程研究院
The Anubis Gates,zh,The Anubis Gates
Piano Trio No. 4,zh,鋼琴三重奏第四號
Antonín Dvořák,zh,安东宁·德沃夏克
Epistle to the Colossians,zh,歌羅西書
Third Epistle of John,zh,約翰三書
Flight of the Bumblebee,zh,大黃蜂的飛行
The Bad and the Beautiful,zh,玉女奇男
Raymond Desèze,zh,雷蒙·德塞茲
pickled cucumbers,zh,pickled cucumbers
Moscow,zh,莫斯科
Belorussky railway station,zh,莫斯科白俄羅斯車站
Moscow Belorussky railway station,zh,莫斯科白俄羅斯車站
Stand on Zanzibar,zh,站立桑给巴尔
United States,zh,美國
Zaisan Memorial,zh,宰桑纪念碑
Franciscan Church,zh,维也纳方济各会教堂
Graz,zh,格拉茨
Church of Our Lady,zh,圣母教堂
Our Lady,zh,圣母玛利亚
Denmark,zh,丹麥
Blaubeuren Abbey,zh,布劳博伊伦修道院
Jameh Mosque of Yazd,zh,亚兹德聚礼清真寺
Yazd,zh,亚兹德
Iran,zh,伊朗
Piano Sonata No. 9,zh,第9钢琴奏鸣曲 (斯克里亚宾)
The Best of Times,zh,黃金歲月
The King's Daughter,zh,日月人魚
Soo Baek-hyang,zh,Soo Baek-hyang
The Flight,zh,The Flight
The Flight that Disappeared,zh,The Flight that Disappeared
Umi no ue no shinryōsho,zh,海上诊疗所
Jojo Moyes,zh,喬喬·莫伊絲
Mannequin Two: On the Move,zh,神氣活現第2集
Grimms' fairy tales,zh,格林童話
Grimms,zh,Grimms
Live by Night,zh,夜行人生
Order of Bravery,zh,英勇勳章
Bulgarian,zh,保加利亞語
Picking Up the Pieces,zh,Picking Up the Pieces
Necmeddin İlgazi,zh,伊爾加齊
Mardin,zh,马尔丁省
Artuqid,zh,阿爾圖格王朝
Jacob's Well,zh,雅各井
Selim Üsküdar Mosque,zh,大塞利米耶清真寺
Turkey,zh,土耳其
St Andrew's Cathedral,zh,圣安德烈座堂
Singapore,zh,新加坡
Jia Yan,zh,Jia Yan
Dream of the Red Chamber,zh,红楼梦
Sex Sent Me to the ER,zh,性爱让我挂急诊
Symphony No. 12,zh,Symphony No. 12
At Play in the Fields of the Lord,zh,At Play in the Fields of the Lord
At Play,zh,At Play
Fields of the Lord,zh,Fields of the Lord
Abbey of Sainte-Trinité,zh,聖三修道院
France,zh,法國
My Little Chickadee,zh,我的小山雀
Conner Kent,zh,超級小子
DC Comics,zh,DC漫畫
Imam Reza Shrine,zh,伊玛目礼萨圣陵
Tsubasa to Hotaru,zh,翼與螢火蟲
Ostankino Tower,zh,奧斯坦金諾電視塔
Agdam Mosque,zh,阿格达姆清真寺
banana flour,zh,香蕉粉
Great Synagogue,zh,Great Synagogue
Constanța,zh,康斯坦察
Gospels of Lothair,zh,洛泰尔福音
The Pioneers,zh,The Pioneers
James Fenimore Cooper,zh,詹姆斯·菲尼莫尔·库珀
Margaret of Bohemia,zh,Margaret of Bohemia
Bohemia,zh,波希米亚
Bavaria,zh,巴伐利亚州
Next Day Air,zh,次日危机
Encyclopedia of China,zh,中国大百科全书
Love Clinique,zh,戀愛的滋味
St Asaph Cathedral,zh,圣阿瑟夫座堂
St Asaph,zh,圣阿瑟夫
Italy,zh,意大利
Ukraine,zh,烏克蘭
The Norman Conquests,zh,諾曼人的征服
Unaccompanied Minors,zh,不羈聖誕夜
tractor beams,zh,tractor beams
tractor beam,zh,tractor beam
Anna,zh,安娜
Byzantium,zh,拜占庭帝國
shish kebab,zh,中东烤肉
Samuel Whiskers,zh,Samuel Whiskers
The Roly-Poly Pudding,zh,The Roly-Poly Pudding
The Tale of Samuel Whiskers,zh,貓布丁的故事
Sergei Kirov,zh,谢尔盖·基洛夫
Bolshevik revolution,zh,十月革命
Soviet,zh,蘇聯
The Fellowship of the Ring,zh,指环王：护戒使者
Al Fateh Mosque,zh,Al Fateh Mosque
Al Fateh Grand Mosque,zh,阿法塔赫清真寺
Lutheran Church of Saint Peter and Saint Paul,zh,信義宗聖彼得和保羅教堂
Piano Concerto No. 2,zh,第2钢琴协奏曲 (拉赫玛尼诺夫)
Doraemon,zh,哆啦A梦
Nobita,zh,野比大雄
Benedictines,zh,本笃会
Cluniacs,zh,Cluniacs
Abbey of la Madaleine,zh,韦兹莱隐修院
Sackheim Gate,zh,薩克漢門
Kaliningrad,zh,加里寧格勒
wheat flour,zh,麵粉
Refectory Church,zh,食堂教堂
Kyiv,zh,基輔
A Wrinkle in Time,zh,時間的皺摺
Rama,zh,黑天
Rama Revealed,zh,拉瑪真相
Death and Transfiguration,zh,死與變容
Richard Strauss,zh,理查德·施特劳斯
Lyric Pieces,zh,抒情小品
Bodrum Mosque,zh,博德鲁姆清真寺
She Stoops to Conquer,zh,屈身求愛
Father Time,zh,時間老人
Grand Duchess Alexandra Pavlovna,zh,亞歷山德拉·帕夫洛芙娜
Russia,zh,俄罗斯
Lyric Suite,zh,抒情组曲
Roman Bucaran,zh,贝德·卡塞多
White Walkers,zh,White Walkers
Game of Thrones,zh,权力的游戏
Sherlock Holmes,zh,歇洛克·福尔摩斯
22nd Century,zh,22世紀
Bashkortostan,zh,巴什科尔托斯坦共和国
Crime Syndicate of America,zh,罪惡聯盟
DC,zh,DC漫畫
Justice League,zh,正義聯盟
Princess Alexandra Victoria,zh,亚力山德拉·维多利亚公主
Schleswig-Holstein-Sonderburg-Glücksburg,zh,Schleswig-Holstein-Sonderburg-Glücksburg
René Clair,zh,勒內·克萊爾
July 14,zh,7月14日
Ketchaoua Mosque,zh,凱喬娃清真寺
